Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
ASGR1	TCN1	trans-position, trans-gene	44808	104	44704	1.8e-12	0.682511876	0.492792167	0.872231586	0.096794933	flexdmg	InflammationII	TCN1:P20061:OID30687:v1:InflammationII	4.25833E-14	0.718281564	17	7173431	7179564
ATP2A1	HRC	trans-position, trans-gene	44457	412	44045	1.83e-12	0.345340136	0.249312115	0.441368156	0.048993454	ptvraredmg	CardiometabolicII	HRC:P23327:OID30211:v1:CardiometabolicII	4.55097E-14	0.352886298	16	28878488	28904509
SPPL2A	CLEC6A	trans-position, trans-gene	44180	16	44164	1.95e-12	-1.700340712	-2.173721046	-1.226960379	0.241518397	ptv	Oncology	CLEC6A:Q6EIG7:OID21228:v1:Oncology	3.14164E-12	-1.698887906	15	50707533	50766158
MTHFSD	MTHFSD	cis-position, cis-gene	44858	205	44653	1.95e-12	-0.48762201	-0.623378673	-0.351865347	0.069263007	flexdmg	OncologyII	MTHFSD:Q2M296:OID31305:v1:OncologyII	6.55711E-14	-0.49820007	16	86530178	86555235
CDH5	CDH5	cis-position, cis-gene	45810	232	45578	1.96e-12	-0.455301405	-0.582072774	-0.328530036	0.064678749	flexdmg	Cardiometabolic	CDH5:P33151:OID20243:v1:Cardiometabolic	1.24525E-14	-0.481125737	16	66366622	66404784
ABCA1	BPIFA2	trans-position, trans-gene	43098	730	42368	1.98e-12	-0.253711567	-0.324366995	-0.18305614	0.036048337	flexdmg	CardiometabolicII	BPIFA2:Q96DR5:OID30279:v1:CardiometabolicII	7.84983E-12	-0.234656715	9	104781002	104928246
ABCA1	PLTP	trans-position, trans-gene	45667	496	45171	2.01e-12	-0.308986684	-0.395062107	-0.222911261	0.043915675	flexnonsynmtr	Cardiometabolic	PLTP:P55058:OID20238:v1:Cardiometabolic	1.50784E-12	-0.291516474	9	104781002	104928246
GNPTAB	CTSH	trans-position, trans-gene	44310	74	44236	2.11e-12	0.792683028	0.571643378	1.013722678	0.112774322	ptv	Cardiometabolic	CTSH:P09668:OID20113:v1:Cardiometabolic	1.76195E-11	0.704715349	12	101745497	101830867
SH2B3	GCNT1	trans-position, trans-gene	45042	225	44817	2.11e-12	0.453153469	0.32678989	0.579517047	0.064470665	flexdmg	Oncology	GCNT1:Q02742:OID21379:v1:Oncology	4.2772E-12	0.441945035	12	111405923	111451623
COL6A2	COL6A3	trans-position, trans-gene	45810	54	45756	2.13e-12	-0.920655324	-1.177433179	-0.663877469	0.131008054	ptv	Cardiometabolic	COL6A3:P12111:OID20292:v1:Cardiometabolic	3.23941E-12	-0.904786048	21	46097606	46132849
IL2RB	IL2RB	cis-position, cis-gene	44437	50	44387	2.16e-12	0.992172991	0.715391819	1.268954163	0.141213631	ptvraredmg	Inflammation	IL2RB:P14784:OID20450:v1:Inflammation	2.12729E-14	0.984939878	22	37125843	37175054
SEPT8	SEPTIN8	cis-position, cis-gene	45424	414	45010	2.33e-12	-0.324709953	-0.415433739	-0.233986167	0.046287263	flexdmg	NeurologyII	SEPTIN8:Q92599:OID31079:v1:NeurologyII	6.94929E-14	-0.339814928	5	132750817	132778284
STAB1	CCN5	trans-position, trans-gene	45260	184	45076	2.34e-12	0.4630704	0.333680326	0.592460474	0.066014791	ptv	Neurology	CCN5:O76076:OID21068:v1:Neurology	7.30464E-12	0.442603794	3	52495338	52524495
DSG2	DSG2	cis-position, cis-gene	45260	24	45236	2.36e-12	-1.370013744	-1.752883764	-0.987143724	0.19534021	ptv	Neurology	DSG2:Q14126:OID21113:v1:Neurology	1.53485E-11	-1.253149734	18	31498177	31549008
IQGAP2	DCBLD2	trans-position, trans-gene	45388	146	45242	2.37e-12	0.552156553	0.397827996	0.706485111	0.078738406	ptv	Oncology	DCBLD2:Q96PD2:OID21474:v1:Oncology	1.90932E-12	0.542477194	5	76403285	76708132
STAB1	NHLRC3	trans-position, trans-gene	43654	1192	42462	2.46e-12	0.200461024	0.144391049	0.256530999	0.028606862	flexdmg	InflammationII	NHLRC3:Q5JS37:OID30614:v1:InflammationII	1.58695E-13	0.20161712	3	52495338	52524495
SIGLEC1	BAIAP2	trans-position, trans-gene	44180	488	43692	2.49e-12	0.314510617	0.226519697	0.402501537	0.044892921	flexdmg	Oncology	BAIAP2:Q9UQB8:OID21250:v1:Oncology	9.51501E-13	0.307802034	20	3686970	3712600
FGG	FGA	cis-position, trans-gene	44766	186	44580	2.51e-12	-0.491853218	-0.629477199	-0.354229236	0.070215708	flexdmg	InflammationII	FGA:P02671:OID30788:v1:InflammationII	4.69165E-14	-0.507643497	4	154604134	154612750
ASGR1	CTRC	trans-position, trans-gene	45230	103	45127	2.53e-12	0.679138828	0.489068366	0.869209291	0.096973912	flexdmg	Inflammation	CTRC:Q99895:OID20752:v1:Inflammation	2.11638E-13	0.700401429	17	7173431	7179564
TNFRSF4	TNFRSF4	cis-position, cis-gene	45673	10	45663	2.54e-12	-2.119276156	-2.712422043	-1.526130269	0.30262299	raredmgmtr	Inflammation	TNFRSF4:P43489:OID20653:v1:Inflammation	3.19322E-10	-1.742382545	1	1211340	1214153
TNFRSF13B	TNFSF13B	trans-position, trans-gene	45735	352	45383	2.6e-12	0.35759995	0.257469072	0.457730828	0.051086769	flexdmg	Cardiometabolic	TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic	1.86753E-11	0.328671249	17	16929816	16972118
SUOX	SUOX	cis-position, cis-gene	45520	145	45375	2.74e-12	-0.566832006	-0.725715791	-0.407948221	0.081062489	ptvraredmg	NeurologyII	SUOX:P51687:OID31031:v1:NeurologyII	1.44529E-11	-0.513460835	12	55997180	56006641
SERPINB9	SERPINB9	cis-position, cis-gene	44914	48	44866	2.95e-12	-1.002183805	-1.283525686	-0.720841924	0.143540544	ptv	Neurology	SERPINB9:P50453:OID20932:v1:Neurology	2.60839E-12	-1.002320908	6	2887270	2903309
ST3GAL1	CCDC80	trans-position, trans-gene	45276	16	45260	2.98e-12	-1.570058282	-2.010912354	-1.129204209	0.224923665	ptvraredmg	Cardiometabolic	CCDC80:Q76M96:OID20226:v1:Cardiometabolic	5.01559E-12	-1.511146439	8	133454848	133571940
ST3GAL4	CD86	trans-position, trans-gene	45423	18	45405	2.99e-12	-1.593121285	-2.040462913	-1.145779657	0.228233634	UR	OncologyII	CD86:P42081:OID31500:v1:OncologyII	1.12467E-10	-1.445819879	11	126355645	126652917
BTN2A1	BTN2A1	cis-position, cis-gene	45452	206	45246	3.07e-12	-0.46852788	-0.600158572	-0.336897189	0.067157961	ptvraredmg	Inflammation	BTN2A1:Q7KYR7:OID20713:v1:Inflammation	8.1047E-14	-0.484106183	6	26457904	26476621
ASGR1	NELL1	trans-position, trans-gene	45388	104	45284	3.09e-12	0.680287962	0.48913041	0.871445514	0.097528553	ptvraredmg	Oncology	NELL1:Q92832:OID21494:v1:Oncology	6.24801E-13	0.685230157	17	7173431	7179564
MEPE	MEPE	cis-position, cis-gene	45225	40	45185	3.22e-12	-1.029571264	-1.319115704	-0.740026825	0.147725514	ptv	Inflammation	MEPE:Q9NQ76:OID20753:v1:Inflammation	7.97029E-12	-0.964766625	4	87821398	87846814
ARMCX2	GLA	cis-position, trans-gene	44582	108	44474	3.27e-12	0.65194502	0.468543141	0.835346899	0.093571565	rec	InflammationII	GLA:P06280:OID30594:v1:InflammationII	6.52363E-11	0.562283216	X	101655281	101659850
GSTA1	GSTA1	cis-position, cis-gene	45204	76	45128	3.29e-12	-0.77673025	-0.995260951	-0.55819955	0.111494318	flexdmg	Cardiometabolic	GSTA1:P08263:OID20166:v1:Cardiometabolic	2.30673E-13	-0.805462368	6	52791371	52803860
FOXA3	BPIFB2	trans-position, trans-gene	45539	126	45413	3.42e-12	-0.605885069	-0.776483684	-0.435286454	0.087039395	flexdmg	CardiometabolicII	BPIFB2:Q8N4F0:OID30311:v1:CardiometabolicII	6.31344E-11	-0.553865195	19	45864260	45873797
APOB	CTSO	trans-position, trans-gene	45752	79	45673	3.54e-12	0.768756477	0.55215597	0.985356985	0.110509569	ptv	Inflammation	CTSO:P43234:OID20660:v1:Inflammation	1.00896E-11	0.725091283	2	21001429	21044073
STAB2	LMNB1	trans-position, trans-gene	45355	984	44371	3.75e-12	0.220771587	0.158494572	0.283048602	0.031773723	flexdmg	OncologyII	LMNB1:P20700:OID31501:v1:OncologyII	1.29735E-13	0.221079749	12	103587273	103766719
ASGR1	CDH17	trans-position, trans-gene	45276	106	45170	3.82e-12	0.659197187	0.473173447	0.845220928	0.094909277	ptvraredmg	Cardiometabolic	CDH17:Q12864:OID20134:v1:Cardiometabolic	3.01682E-12	0.648309288	17	7173431	7179564
CNTNAP2	CNTNAP2	cis-position, cis-gene	45190	572	44618	3.89e-12	-0.281359422	-0.360787079	-0.201931765	0.040523973	flexdmg	Inflammation	CNTNAP2:Q9UHC6:OID20556:v1:Inflammation	2.19229E-12	-0.274902405	7	146116002	148420998
STAB1	DCN	trans-position, trans-gene	44454	1218	43236	4.02e-12	0.187010078	0.134181745	0.239838412	0.026952992	flexdmg	Cardiometabolic	DCN:P07585:OID20106:v1:Cardiometabolic	1.0408E-12	0.184063407	3	52495338	52524495
ASGR1	TCTN3	trans-position, trans-gene	45616	105	45511	4.03e-12	0.663364163	0.475961528	0.850766798	0.095612808	flexdmg	CardiometabolicII	TCTN3:Q6NUS6:OID30326:v1:CardiometabolicII	1.79137E-12	0.655111883	17	7173431	7179564
ASGR1	ADAM8	trans-position, trans-gene	45565	106	45459	4.18e-12	0.666739203	0.478242617	0.855235789	0.096170939	flexdmg	Neurology	ADAM8:P78325:OID21039:v1:Neurology	4.11088E-12	0.652999712	17	7173431	7179564
ASGR1	SSC5D	trans-position, trans-gene	45433	104	45329	4.21e-12	0.66052165	0.473755436	0.847287863	0.095288096	ptvraredmg	Cardiometabolic	SSC5D:A1L4H1:OID20351:v1:Cardiometabolic	1.87988E-13	0.686874361	17	7173431	7179564
ZNF276	TSPAN8	trans-position, trans-gene	45423	158	45265	4.28e-12	-0.530200101	-0.680170482	-0.38022972	0.076514867	flexdmg	OncologyII	TSPAN8:P19075:OID31470:v1:OncologyII	7.54397E-12	-0.504039439	16	89720195	89740925
PRAP1	PRAP1	cis-position, cis-gene	45606	18	45588	4.32e-12	-1.550650822	-1.989330129	-1.111971514	0.223814143	ptv	CardiometabolicII	PRAP1:Q96NZ9:OID30391:v1:CardiometabolicII	3.97241E-12	-1.551892687	10	133347368	133352683
HMOX1	HMOX1	cis-position, cis-gene	44775	74	44701	4.33e-12	-0.778321583	-0.998525006	-0.55811816	0.112347711	flexdmg	Cardiometabolic	HMOX1:P09601:OID20217:v1:Cardiometabolic	2.8094E-13	-0.782611065	22	35380361	35394214
PPCDC	PPCDC	cis-position, cis-gene	45644	31	45613	4.33e-12	-1.207136617	-1.548666328	-0.865606905	0.174248432	ptvraredmg	Neurology	PPCDC:Q96CD2:OID21027:v1:Neurology	2.57947E-11	-1.079546406	15	75023586	75117462
PENK	PENK	cis-position, cis-gene	44654	23	44631	4.43e-12	-1.390889177	-1.784572029	-0.997206325	0.200856842	ptv	InflammationII	PENK:P01210:OID30666:v1:InflammationII	2.03286E-12	-1.390040049	8	56436674	56446671
IGF2R	LGMN	trans-position, trans-gene	45452	214	45238	4.48e-12	0.472979443	0.339070014	0.606888872	0.068320573	ptvraredmg	Inflammation	LGMN:Q99538:OID20773:v1:Inflammation	5.15158E-13	0.468768941	6	159969082	160113507
FLG	LGALS7_LGALS7B	trans-position, trans-gene	45100	554	44546	4.62e-12	0.276852629	0.198423489	0.355281769	0.040014528	ptv	Oncology	LGALS7_LGALS7B:P47929:OID21406:v1:Oncology	1.32863E-12	0.269661151	1	152302163	152325257
GNPTAB	FAM20A	trans-position, trans-gene	45616	77	45539	4.67e-12	0.756357809	0.542034003	0.970681614	0.109347987	ptv	CardiometabolicII	FAM20A:Q96MK3:OID30348:v1:CardiometabolicII	7.57635E-13	0.731671469	12	101745497	101830867
FGA	SDC1	trans-position, trans-gene	45276	38	45238	4.72e-12	1.081096225	0.774689339	1.387503111	0.156328735	ptv	Cardiometabolic	SDC1:P18827:OID20169:v1:Cardiometabolic	3.03364E-11	0.991264956	4	154583128	154590745
CD84	CD84	cis-position, cis-gene	45190	11	45179	5.1e-12	-2.061579302	-2.646799871	-1.476358733	0.298579409	URmtr	Inflammation	CD84:Q9UIB8:OID20607:v1:Inflammation	1.12674E-10	-1.851203155	1	160541095	160579516
IFI35	NMI	trans-position, trans-gene	45279	76	45203	5.19e-12	-0.78464052	-1.007455464	-0.561825575	0.113680143	flexdmg	OncologyII	NMI:Q13287:OID31378:v1:OncologyII	2.05585E-10	-0.656162536	17	43006725	43014459
NRP2	NRP2	cis-position, cis-gene	45260	234	45026	5.27e-12	-0.429566834	-0.551591435	-0.307542233	0.062256928	flexdmg	Neurology	NRP2:O60462:OID21081:v1:Neurology	7.64582E-14	-0.430026842	2	205681990	205798133
RETN	RETN	cis-position, cis-gene	45164	15	45149	5.54e-12	-1.724185916	-2.214470516	-1.233901315	0.250143094	flexdmg	Cardiometabolic	RETN:Q9HD89:OID20327:v1:Cardiometabolic	1.75367E-15	-1.848040707	19	7669049	7670455
DECR1	DECR1	cis-position, cis-gene	45190	17	45173	5.56e-12	-1.656349667	-2.127379281	-1.185320054	0.240319208	rec	Inflammation	DECR1:Q16698:OID20579:v1:Inflammation	1.16562E-15	-1.820836064	8	90001405	90053633
CD163L1	GSR	trans-position, trans-gene	45439	173	45266	5.64e-12	0.506667494	0.362539151	0.650795837	0.073534261	flexdmg	InflammationII	GSR:P00390:OID30700:v1:InflammationII	5.56527E-12	0.48445729	12	7326484	7444185
SEMA3B	PCDH7	trans-position, trans-gene	45423	86	45337	5.73e-12	-0.72344591	-0.929302705	-0.517589116	0.105028107	ptv	OncologyII	PCDH7:O60245:OID31456:v1:OncologyII	2.62584E-12	-0.724851375	3	50267558	50277171
ANO5	MYOM3	trans-position, trans-gene	44654	18	44636	6.03e-12	1.50223382	1.074314224	1.930153416	0.218324416	rec	InflammationII	MYOM3:Q5VTT5:OID30633:v1:InflammationII	1.47164E-12	1.512655901	11	22192513	22283367
HNF4A	XPNPEP2	trans-position, trans-gene	45388	216	45172	6.18e-12	-0.457004995	-0.587249506	-0.326760484	0.066450729	flexnonsynmtr	Oncology	XPNPEP2:O43895:OID21508:v1:Oncology	2.7787E-10	-0.406590785	20	44355801	44432845
LTBR	LTA	trans-position, trans-gene	45190	47	45143	6.77e-12	0.981015685	0.700900486	1.261130883	0.142914714	ptvraredmg	Inflammation	LTA:P01374:OID20586:v1:Inflammation	1.60089E-11	0.929040569	12	6375045	6391571
TIMD4	AGR3	trans-position, trans-gene	44104	59	44045	6.93e-12	0.877277067	0.626661935	1.127892199	0.127863702	flexdmg	Oncology	AGR3:Q8TD06:OID21243:v1:Oncology	9.19058E-13	0.804233802	5	156919292	156963226
PBX2	MICB_MICA	cis-position, trans-gene	45190	89	45101	6.94e-12	-0.717621801	-0.922636807	-0.512606795	0.104598612	flexnonsynmtr	Inflammation	MICB_MICA:Q29980_Q29983:OID20593:v1:Inflammation	3.58332E-10	-0.632278721	6	32184733	32190186
GIMAP5	GIMAP7	cis-position, trans-gene	44654	90	44564	7.41e-12	-0.709584453	-0.912582086	-0.506586821	0.103569315	flexnonsynmtr	InflammationII	GIMAP7:Q8NHV1:OID30639:v1:InflammationII	8.29258E-13	-0.705014865	7	150737348	150743649
DLL1	DLL1	cis-position, cis-gene	45388	329	45059	7.68e-12	-0.364877665	-0.469339578	-0.260415753	0.053296452	flexnonsynmtr	Oncology	DLL1:O00548:OID21525:v1:Oncology	3.81933E-12	-0.360837246	6	170282206	170306565
PRSS22	PRSS22	cis-position, cis-gene	44339	66	44273	8.09e-12	-0.833402134	-1.072257284	-0.594546984	0.121863784	flexdmg	InflammationII	PRSS22:Q9GZN4:OID30483:v1:InflammationII	2.6552E-14	-0.832810895	16	2852730	2858170
HIST1H2AD	LRP1	trans-position, trans-gene	45042	78	44964	8.19e-12	0.744747374	0.531246055	0.958248694	0.108928318	flexnonsynmtr	Oncology	LRP1:Q07954:OID21293:v1:Oncology	1.22351E-09	0.634233691	6	26198784	26199293
PCDHB15	PCDHB15	cis-position, cis-gene	45424	63	45361	8.28e-12	-0.853404488	-1.098113721	-0.608695254	0.124850616	ptvraredmg	OncologyII	PCDHB15:Q9Y5E8:OID31377:v1:OncologyII	2.07136E-13	-0.838985184	5	141245395	141249365
DSG4	DSG4	cis-position, cis-gene	44898	237	44661	8.38e-12	-0.426912749	-0.549358119	-0.30446738	0.06247159	ptvraredmg	Oncology	DSG4:Q86SJ6:OID21325:v1:Oncology	2.13498E-13	-0.416290604	18	31376777	31414912
CALCR	CALCA	trans-position, trans-gene	44842	179	44663	8.74e-12	0.413617941	0.294881462	0.53235442	0.060579313	flexdmg	Neurology	CALCA:P01258:OID20983:v1:Neurology	3.22865E-12	0.407079452	7	93424487	93574730
FCRLB	FCRLB	cis-position, cis-gene	44180	87	44093	8.77e-12	-0.711231451	-0.915420425	-0.507042478	0.104177107	flexnonsynmtr	Oncology	FCRLB:Q6BAA4:OID21193:v1:Oncology	3.53166E-17	-0.797658885	1	161721563	161728143
APOB	HSD11B1	trans-position, trans-gene	45190	76	45114	9.06e-12	0.77796939	0.554466852	1.001471928	0.114030947	ptv	Inflammation	HSD11B1:P28845:OID20575:v1:Inflammation	1.06472E-11	0.741390391	2	21001429	21044073
ASGR1	FOLR1	trans-position, trans-gene	45162	103	45059	9.09e-12	0.631361285	0.449967675	0.812754896	0.09254698	ptvraredmg	Oncology	FOLR1:P15328:OID21529:v1:Oncology	2.77326E-11	0.60337791	17	7173431	7179564
TRIM58	TRIM58	cis-position, cis-gene	45424	112	45312	9.65e-12	-0.633694683	-0.815988637	-0.451400728	0.093006349	flexnonsynmtr	OncologyII	TRIM58:Q8NG06:OID31429:v1:OncologyII	3.72634E-13	-0.629867276	1	247857187	247880138
STAB1	EBI3_IL27	trans-position, trans-gene	45553	725	44828	9.73e-12	0.245584248	0.174924799	0.316243698	0.036050444	ptvraredmg	Oncology	EBI3_IL27:Q14213_Q8NEV9:OID21389:v1:Oncology	8.21466E-13	0.241014849	3	52495338	52524495
KLB	FGF19	trans-position, trans-gene	45452	136	45316	9.74e-12	0.579555314	0.412802779	0.746307849	0.085077121	flexdmg	Inflammation	FGF19:O95750:OID20715:v1:Inflammation	3.95514E-13	0.598100574	4	39406930	39451533
CA2	CA2	cis-position, cis-gene	45106	59	45047	1.02e-11	-0.849968214	-1.094776545	-0.605159883	0.124901152	flexdmg	Neurology	CA2:P00918:OID21149:v1:Neurology	6.24213E-17	-0.975637215	8	85463968	85481493
IGF2R	NPC2	trans-position, trans-gene	44869	206	44663	1.06e-11	0.446493745	0.317791093	0.575196397	0.065664053	ptvraredmg	CardiometabolicII	NPC2:P61916:OID30418:v1:CardiometabolicII	4.83256E-14	0.468520468	6	159969082	160113507
ADAM9	TNFRSF4	trans-position, trans-gene	45673	89	45584	1.07e-11	-0.690251938	-0.889240689	-0.491263187	0.101524047	ptvraredmg	Inflammation	TNFRSF4:P43489:OID20653:v1:Inflammation	8.51292E-12	-0.669402366	8	38996754	39105445
CPN2	EBI3_IL27	trans-position, trans-gene	45553	60	45493	1.08e-11	-0.845406852	-1.089199013	-0.601614692	0.124382734	flexdmg	Oncology	EBI3_IL27:Q14213_Q8NEV9:OID21389:v1:Oncology	6.5166E-13	-0.867313346	3	194339765	194351345
DNER	DNER	cis-position, cis-gene	45154	124	45030	1.09e-11	-0.582191966	-0.750116729	-0.414267202	0.085675176	ptvraredmg	Inflammation	DNER:Q8NFT8:OID20712:v1:Inflammation	1.38378E-12	-0.535810163	2	229357629	229714555
ASGR1	MDGA1	trans-position, trans-gene	44914	103	44811	1.11e-11	0.645688513	0.459394736	0.831982289	0.095047029	flexdmg	Neurology	MDGA1:Q8NFP4:OID20951:v1:Neurology	3.19235E-12	0.646224944	17	7173431	7179564
UROD	UROD	cis-position, cis-gene	44654	91	44563	1.18e-11	-0.692944613	-0.893135318	-0.492753908	0.102137222	ptvraredmg	InflammationII	UROD:P06132:OID30603:v1:InflammationII	7.6455E-11	-0.63421298	1	45010950	45015575
ABCA8	KLB	trans-position, trans-gene	44217	89	44128	1.21e-11	-0.71475713	-0.921359172	-0.508155088	0.105408255	ptv	Neurology	KLB:Q86Z14:OID20888:v1:Neurology	3.71752E-11	-0.651485242	17	68867287	68955408
LCP1	LCP1	cis-position, cis-gene	45606	6	45600	1.24e-11	-2.733144505	-3.523621695	-1.942667315	0.403301392	ptv	CardiometabolicII	LCP1:P13796:OID30367:v1:CardiometabolicII	1.10696E-11	-2.740065196	13	46125920	46211871
CD36	HEG1	trans-position, trans-gene	44654	458	44196	1.3e-11	-0.302546938	-0.390139043	-0.214954833	0.044689459	flexdmg	InflammationII	HEG1:Q9ULI3:OID30579:v1:InflammationII	9.01305E-10	-0.246429606	7	80369575	80679277
HSPG2	TINAGL1	trans-position, trans-gene	45132	58	45074	1.35e-11	0.854165783	0.606702651	1.101628916	0.126255633	ptv	Cardiometabolic	TINAGL1:Q9GZM7:OID20180:v1:Cardiometabolic	3.00056E-12	0.833900436	1	21822244	21937310
TNFRSF13B	TNFRSF13B	cis-position, cis-gene	45300	354	44946	1.39e-11	-0.351748209	-0.453717271	-0.249779147	0.052024597	flexdmg	Inflammation	TNFRSF13B:O14836:OID20702:v1:Inflammation	3.87291E-12	-0.344698035	17	16929816	16972118
GFI1B	FAM13A	trans-position, trans-gene	45423	78	45345	1.45e-11	-0.75093293	-0.968833808	-0.533032053	0.111172996	flexdmg	OncologyII	FAM13A:O94988:OID31463:v1:OncologyII	7.16354E-14	-0.728287795	9	132945545	132993434
MXRA8	MXRA8	cis-position, cis-gene	44654	32	44622	1.48e-11	-1.109395833	-1.431478909	-0.787312758	0.164326663	UR	InflammationII	MXRA8:Q9BRK3:OID30583:v1:InflammationII	1.82311E-11	-1.106659647	1	1352689	1361777
CA13	CA13	cis-position, cis-gene	44783	122	44661	1.52e-11	-0.606983465	-0.783298894	-0.430668036	0.089956072	flexdmg	Cardiometabolic	CA13:Q8N1Q1:OID20225:v1:Cardiometabolic	2.48902E-11	-0.565553918	8	85220587	85284073
ULBP2	ULBP2	cis-position, cis-gene	44914	38	44876	1.56e-11	-1.027793453	-1.326513142	-0.729073763	0.152406696	flexnonsynmtr	Neurology	ULBP2:Q9BZM5:OID20919:v1:Neurology	3.14587E-12	-0.943906934	6	149942014	149949235
CPE	CPE	cis-position, cis-gene	45256	68	45188	1.67e-11	-0.814998073	-1.052202173	-0.577793972	0.121021486	flexdmg	Oncology	CPE:P16870:OID21392:v1:Oncology	3.32436E-11	-0.774679796	4	165361194	165498547
STAB2	SRPX	trans-position, trans-gene	45616	990	44626	1.67e-11	0.199303266	0.141291676	0.257314856	0.029597508	flexdmg	CardiometabolicII	SRPX:P78539:OID30310:v1:CardiometabolicII	4.18467E-11	0.182202883	12	103587273	103766719
PLTP	KITLG	trans-position, trans-gene	45276	101	45175	1.71e-11	0.661173259	0.468641666	0.853704852	0.098229582	flexdmg	Cardiometabolic	KITLG:P21583:OID20196:v1:Cardiometabolic	2.87532E-14	0.720503118	20	45898621	45912155
KLF1	CA3	trans-position, trans-gene	45737	40	45697	1.76e-11	1.015347543	0.719492182	1.311202904	0.15094539	ptvraredmg	Cardiometabolic	CA3:P07451:OID20271:v1:Cardiometabolic	3.19866E-10	0.878193646	19	12884422	12887203
SERPING1	SERPING1	cis-position, cis-gene	45606	113	45493	1.77e-11	-0.614412097	-0.793461335	-0.435362859	0.091350905	flexdmg	InflammationII	SERPING1:P05155:OID30777:v1:InflammationII	1.7569E-11	-0.587984268	11	57597387	57619171
SELENON	MEGF10	trans-position, trans-gene	45225	289	44936	1.82e-11	-0.386817079	-0.499618503	-0.274015655	0.057551264	flexdmg	Inflammation	MEGF10:Q96KG7:OID20746:v1:Inflammation	5.93087E-14	-0.409537539	1	25800176	25818222
ASGR1	SUSD2	trans-position, trans-gene	45260	103	45157	1.85e-11	0.633276533	0.448547934	0.818005132	0.094248496	flexdmg	Neurology	SUSD2:Q9UGT4:OID21098:v1:Neurology	7.30461E-12	0.634425069	17	7173431	7179564
FCRL5	FCRL5	cis-position, cis-gene	45260	41	45219	1.87e-11	-0.991249165	-1.280462257	-0.702036073	0.147556464	flexdmg	Neurology	FCRL5:Q96RD9:OID21111:v1:Neurology	1.10743E-12	-0.972024624	1	157513377	157552515
LENG1	LILRB2	cis-position, trans-gene	45596	67	45529	1.87e-11	-0.804409315	-1.039116983	-0.569701648	0.11974783	ptv	Cardiometabolic	LILRB2:Q8N423:OID20301:v1:Cardiometabolic	6.1437E-11	-0.771802932	19	54155639	54159743
